"Investment in building construction 1 2 3 4"
"Frequency: Monthly"
"Table: 34-10-0286-01"
"Release date: 2025-02-13"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work","Other types of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Value","Unadjusted - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of structure","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","523,684,287","500,094,682","485,494,403","482,843,004","479,338,570","501,422,776","541,482,303","549,995,613","555,783,182","576,293,646","587,414,944","589,861,236","593,488,405","582,236,848","563,870,525","537,891,066","561,735,708","605,115,959","655,483,055","692,188,223","709,475,298","712,474,218","697,365,533","662,855,035","630,897,230","610,343,029","590,058,681","607,892,636","641,178,296","723,541,611","806,523,284","847,168,419","809,830,919","782,129,938","773,864,142","756,548,142","731,324,484","714,283,877","669,674,660","511,202,217","666,024,891","762,270,421","756,235,550","769,245,615","765,198,620","750,528,966","765,082,850","753,299,391","715,875,681","730,927,402","731,460,156","735,704,426","785,343,428","806,777,006","811,789,395","800,094,989","803,224,335","794,590,637","820,565,082","831,890,857","820,548,920","767,639,172","746,688,385","748,721,459","807,916,230","862,101,233","877,300,944","838,676,008","840,778,873","870,197,263","910,636,580","878,916,974","873,393,964","854,370,016","798,271,503","798,140,523","825,261,813","858,115,840","909,654,526","908,542,269","896,536,945","880,137,233","855,066,073","815,021,764","796,808,281","779,324,945","778,500,218","765,703,731","784,881,250","847,329,430","867,802,743","898,435,165","928,221,879","920,542,639","939,438,803","928,725,971"
"Total residential","46,546,530","44,344,615","37,705,148","42,533,227","36,148,876","38,805,839","57,899,772","52,903,704","51,226,338","73,699,382","84,855,000","82,005,899","89,881,862","89,104,210","85,768,636","73,551,373","97,896,152","132,007,356","158,890,779","176,579,760","182,600,297","177,501,976","150,237,613","114,017,855","86,193,884","79,198,049","78,741,083","95,278,591","125,947,240","150,040,211","201,497,961","235,640,909","184,624,397","143,946,571","122,098,518","103,300,796","90,588,504","94,374,689","98,153,124","54,539,643","119,981,216","187,436,761","186,120,105","181,353,359","199,155,026","186,839,457","191,138,115","169,061,877","137,006,690","164,329,530","177,756,232","172,918,113","218,782,706","232,581,106","214,825,491","190,111,304","185,798,425","180,672,299","211,804,938","218,605,512","219,012,751","185,358,042","184,129,976","195,804,621","261,727,590","305,683,380","303,934,494","257,886,811","237,927,654","241,970,105","245,794,984","202,677,850","179,132,489","169,216,059","122,157,829","131,312,899","168,430,447","202,804,048","231,568,718","219,498,253","202,626,074","189,948,007","165,684,076","135,121,208","133,366,029","137,148,826","152,064,796","141,196,818","155,646,846","198,437,921","207,423,345","200,043,749","216,353,662","192,086,889","186,658,678","151,413,411"
"Single dwelling building total","4,207,109","2,751,700","2,200,532","2,719,525","2,909,447","3,954,450","5,644,701","5,249,605","5,460,483","6,888,643","6,203,597","4,915,707","3,307,719","8,625,589","15,248,889","21,431,193","32,204,397","46,727,814","51,701,167","48,136,382","48,147,393","46,062,406","47,677,811","39,048,103","29,135,083","21,886,586","18,550,029","21,262,831","41,774,678","70,013,436","78,259,780","75,043,573","74,544,164","68,380,282","69,447,789","57,603,246","41,132,717","26,992,506","24,597,151","17,110,738","35,351,802","61,073,528","90,791,289","100,229,083","96,746,454","85,654,845","87,591,383","69,384,432","52,912,482","42,233,055","42,423,987","69,212,660","110,314,524","131,197,884","139,209,508","124,198,230","109,274,116","100,731,734","104,187,991","91,095,423","73,128,826","58,796,054","63,589,829","92,554,157","125,485,583","169,788,617","189,746,407","168,325,838","153,132,971","130,145,597","121,093,319","97,229,032","71,009,537","53,325,596","54,514,985","70,151,072","94,072,642","124,735,539","143,111,048","135,509,490","134,746,535","117,040,608","109,649,062","84,817,617","69,781,451","54,820,954","48,816,308","62,046,106","90,282,601","119,774,759","121,998,609","121,431,809","128,014,747","121,592,319","127,628,097","103,962,693"
"Multiple dwelling building total","42,339,421","41,592,916","35,504,616","39,813,702","33,239,429","34,851,388","52,255,071","47,654,099","45,765,855","66,810,738","78,651,403","77,090,192","86,574,143","80,478,621","70,519,747","52,120,180","65,691,755","85,279,542","107,189,612","128,443,378","134,452,904","131,439,570","102,559,803","74,969,752","57,058,802","57,311,463","60,191,054","74,015,760","84,172,562","80,026,775","123,238,181","160,597,336","110,080,233","75,566,289","52,650,728","45,697,550","49,455,787","67,382,183","73,555,973","37,428,906","84,629,414","126,363,233","95,328,816","81,124,276","102,408,572","101,184,612","103,546,733","99,677,444","84,094,208","122,096,475","135,332,245","103,705,453","108,468,182","101,383,223","75,615,983","65,913,074","76,524,309","79,940,566","107,616,947","127,510,089","145,883,925","126,561,988","120,540,147","103,250,464","136,242,007","135,894,763","114,188,087","89,560,973","84,794,683","111,824,508","124,701,664","105,448,818","108,122,952","115,890,462","67,642,844","61,161,827","74,357,806","78,068,508","88,457,670","83,988,763","67,879,539","72,907,399","56,035,014","50,303,592","63,584,578","82,327,872","103,248,488","79,150,712","65,364,245","78,663,162","85,424,737","78,611,940","88,338,916","70,494,571","59,030,580","47,450,718"
"Total non-residential","477,137,757","455,750,067","447,789,255","440,309,777","443,189,694","462,616,937","483,582,531","497,091,909","504,556,844","502,594,264","502,559,943","507,855,337","503,606,543","493,132,638","478,101,889","464,339,693","463,839,556","473,108,603","496,592,276","515,608,462","526,875,001","534,972,242","547,127,920","548,837,180","544,703,346","531,144,979","511,317,598","512,614,045","515,231,055","573,501,400","605,025,323","611,527,510","625,206,522","638,183,368","651,765,625","653,247,346","640,735,980","619,909,188","571,521,537","456,662,573","546,043,675","574,833,659","570,115,445","587,892,256","566,043,594","563,689,509","573,944,734","584,237,514","578,868,991","566,597,873","553,703,924","562,786,313","566,560,722","574,195,900","596,963,904","609,983,685","617,425,910","613,918,337","608,760,144","613,285,345","601,536,169","582,281,130","562,558,408","552,916,838","546,188,640","556,417,853","573,366,451","580,789,197","602,851,220","628,227,158","664,841,596","676,239,124","694,261,475","685,153,957","676,113,673","666,827,624","656,831,365","655,311,793","678,085,808","689,044,015","693,910,872","690,189,225","689,381,997","679,900,556","663,442,252","642,176,118","626,435,422","624,506,912","629,234,404","648,891,509","660,379,398","698,391,416","711,868,216","728,455,750","752,780,125","777,312,560"
"Total industrial","79,860,035","75,301,151","83,622,648","85,965,498","90,975,875","103,395,588","111,335,223","117,971,703","123,127,131","126,679,586","125,930,427","125,506,353","122,022,647","116,705,977","111,094,388","106,876,018","105,861,831","108,061,044","117,087,609","127,379,341","132,484,416","137,929,053","139,233,315","140,248,850","136,810,621","132,929,763","129,830,596","125,533,636","123,348,617","124,553,551","126,921,427","131,436,845","133,538,695","134,377,146","141,274,605","142,223,045","140,933,023","136,805,767","123,837,866","105,034,452","124,678,076","134,624,382","133,743,231","137,172,550","137,603,247","138,606,209","140,621,347","144,045,246","140,931,113","135,297,728","127,197,255","127,183,487","124,605,877","125,108,191","126,710,703","128,432,533","128,824,734","128,831,791","128,679,316","132,388,815","131,030,505","125,715,542","121,829,103","122,240,677","123,996,231","124,487,719","133,412,305","132,552,815","138,570,191","147,976,786","157,590,480","163,464,040","167,025,856","165,030,037","170,812,959","170,108,698","170,728,277","171,193,805","189,035,161","193,930,589","198,024,336","204,305,266","208,422,300","212,560,211","209,025,887","205,650,892","202,064,618","197,770,502","197,657,449","200,802,691","202,462,539","211,251,390","214,459,901","219,192,472","225,508,519","227,156,813"
"Total commercial","214,847,555","200,958,921","190,352,746","181,974,447","177,517,835","179,082,197","187,048,632","187,061,095","186,108,469","178,527,131","180,663,351","183,075,746","182,283,788","180,114,483","174,684,367","171,759,670","175,982,192","187,193,651","200,928,791","206,949,486","215,063,980","215,427,371","226,954,584","230,643,359","235,780,410","229,179,838","220,388,266","217,196,454","219,951,422","226,937,519","246,847,766","262,694,458","279,295,092","290,302,190","293,436,243","291,133,067","282,086,501","264,543,034","239,446,297","162,346,176","211,983,677","223,641,412","211,094,904","224,329,067","210,068,837","213,333,720","227,355,757","236,609,791","238,520,463","234,244,600","234,099,093","245,339,091","249,889,674","253,315,945","261,527,599","264,207,197","265,942,319","263,955,949","262,398,394","268,043,241","264,515,112","258,208,932","245,512,907","239,549,015","233,373,307","240,701,116","240,164,989","244,857,943","258,888,961","274,027,584","300,071,469","305,547,193","315,882,440","311,865,462","302,564,366","296,766,100","284,546,929","280,814,905","276,346,019","275,345,537","268,827,899","256,324,353","245,685,558","231,187,259","223,586,154","210,216,999","198,212,612","198,218,946","200,804,969","218,963,329","221,195,877","239,845,316","246,570,206","253,907,585","263,966,672","270,779,905"
"Total institutional and governmental","182,430,167","179,489,995","173,813,861","172,369,832","174,695,984","180,139,152","185,198,676","192,059,111","195,321,245","197,387,547","195,966,165","199,273,237","199,300,108","196,312,179","192,323,135","185,704,006","181,995,533","177,853,908","178,575,875","181,279,636","179,326,605","181,615,818","180,940,020","177,944,971","172,112,315","169,035,378","161,098,736","169,883,955","171,931,017","222,010,330","231,256,130","217,396,207","212,372,735","213,504,032","217,054,776","219,891,234","217,716,455","218,560,386","208,237,374","189,281,946","209,381,922","216,567,865","225,277,310","226,390,639","218,371,511","211,749,581","205,967,631","203,582,477","199,417,416","197,055,545","192,407,576","190,263,734","192,065,171","195,771,764","208,725,602","217,343,955","222,658,857","221,130,597","217,682,434","212,853,289","205,990,552","198,356,656","195,216,399","191,127,146","188,819,102","191,229,017","199,789,157","203,378,439","205,392,068","206,222,787","207,179,647","207,227,891","211,353,179","208,258,459","202,736,349","199,952,826","201,556,160","203,303,082","212,704,629","219,767,889","227,058,637","229,559,606","235,274,138","236,153,085","230,830,211","226,308,228","226,158,191","228,517,463","230,771,986","229,125,490","236,720,982","247,294,710","250,838,109","255,355,693","263,304,934","279,375,842"

