"Investment in building construction 1 2 3 4"
"Frequency: Monthly"
"Table: 34-10-0286-01"
"Release date: 2025-02-13"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work","Types of work, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Value","Unadjusted - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of structure","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","12,770,784,729","11,540,252,186","10,930,595,027","11,637,580,037","13,449,786,370","15,338,878,179","16,158,390,203","15,308,436,618","14,889,349,051","14,911,364,988","15,244,861,697","14,422,799,396","13,317,089,653","12,293,622,225","11,972,843,623","12,814,418,018","14,133,746,117","15,916,198,680","16,713,181,797","16,849,436,755","16,609,334,478","15,661,345,253","15,263,594,112","14,485,620,957","13,264,660,719","12,169,889,800","11,615,476,800","12,489,475,517","14,379,266,066","16,229,399,313","17,298,472,518","17,579,350,893","17,357,339,782","16,479,469,836","16,328,313,871","15,510,721,105","14,244,312,695","13,614,113,250","13,040,444,774","10,058,003,948","13,176,143,917","15,616,565,541","17,410,086,896","18,556,393,870","18,351,727,878","17,556,311,261","17,572,783,131","16,966,699,116","16,253,662,936","15,294,920,165","15,137,267,422","16,952,873,684","18,936,847,775","20,129,573,948","21,050,263,589","20,796,852,662","20,008,643,274","19,486,097,600","19,390,639,542","18,825,891,401","18,252,593,431","17,005,738,293","16,348,214,609","17,824,084,771","19,778,967,571","22,169,572,782","24,075,030,408","24,069,324,852","23,017,169,677","21,885,397,113","20,789,482,744","19,485,239,970","18,510,979,307","17,417,672,343","16,511,844,292","17,477,762,412","18,636,039,539","20,428,714,971","21,978,464,699","22,113,022,210","22,390,544,178","22,111,316,539","21,623,968,157","20,666,125,224","19,477,605,685","18,112,671,639","17,741,250,293","18,207,817,872","19,882,242,123","22,569,619,744","23,432,751,954","23,681,352,093","23,983,336,441","22,885,925,610","22,326,907,941","21,547,431,396"
"Total residential","8,756,975,652","7,638,928,276","7,115,526,220","7,812,245,706","9,555,158,581","11,275,793,463","11,852,733,284","10,839,777,988","10,313,408,226","10,301,553,652","10,610,192,494","9,801,469,221","8,807,222,874","7,894,983,649","7,674,882,911","8,550,146,513","9,850,560,359","11,517,817,514","12,127,650,768","12,136,445,696","11,809,521,870","10,844,694,473","10,456,475,026","9,711,067,555","8,589,783,414","7,642,943,190","7,227,424,710","8,124,069,896","9,909,812,767","11,533,791,332","12,381,114,173","12,511,182,660","12,193,208,904","11,286,030,775","11,095,792,989","10,305,744,454","9,152,213,034","8,639,574,498","8,336,479,696","6,249,596,600","8,500,101,147","10,608,593,166","12,376,466,237","13,530,033,502","13,529,682,792","12,823,085,674","12,828,371,960","12,274,694,131","11,653,828,842","10,813,539,899","10,739,149,808","12,539,959,168","14,433,957,638","15,511,567,375","16,227,073,527","15,831,692,461","14,958,775,030","14,352,658,344","14,228,382,144","13,643,470,279","13,093,668,876","11,935,525,153","11,270,775,224","12,647,718,928","14,516,148,213","16,606,596,981","18,297,079,323","18,208,516,389","17,030,985,203","15,862,585,034","14,768,459,151","13,480,159,195","12,609,875,297","11,617,441,964","10,786,344,908","11,662,396,522","12,826,895,895","14,486,194,739","15,807,801,867","15,816,431,495","15,957,545,051","15,651,285,008","15,137,007,278","14,192,256,532","13,137,939,213","11,932,720,701","11,641,521,905","12,145,569,747","13,760,221,841","16,288,480,388","17,044,247,448","17,142,154,172","17,354,364,107","16,173,496,586","15,544,317,089","14,719,611,742"
"Single dwelling building total","5,060,018,990","4,102,168,153","3,622,897,133","4,189,926,280","5,792,844,646","7,095,781,380","7,139,455,740","6,123,086,297","5,797,558,525","5,707,736,227","5,774,245,396","5,225,636,374","4,708,887,567","4,169,832,625","3,847,783,360","4,280,768,801","5,230,283,132","6,518,858,434","6,971,942,097","6,803,883,997","6,594,408,528","5,897,825,239","5,730,060,619","5,100,381,390","4,277,560,247","3,562,212,991","3,271,470,313","3,630,889,423","4,599,595,860","5,955,222,946","6,497,825,956","6,533,713,219","6,396,666,240","5,800,965,995","5,645,438,408","4,867,884,905","4,194,707,092","3,830,162,519","3,703,601,037","2,829,544,538","4,159,754,445","5,527,352,382","6,750,486,997","7,081,514,501","6,898,053,532","6,652,316,209","6,887,402,555","6,257,874,317","5,826,823,292","5,342,978,375","5,290,752,776","6,546,280,635","8,120,485,357","9,054,074,823","9,482,919,410","9,041,783,974","8,537,823,271","8,127,122,024","8,089,438,727","7,520,704,936","6,901,019,658","6,009,236,184","5,672,106,922","6,790,455,226","8,066,236,538","9,623,790,718","10,558,051,270","10,095,027,897","9,367,682,010","8,460,745,251","7,722,336,688","6,895,468,605","6,313,813,499","5,561,644,199","5,116,783,491","5,912,983,712","6,851,265,452","8,089,456,053","8,714,829,765","8,255,386,312","8,025,118,896","7,516,728,943","7,309,973,545","6,735,068,795","6,163,221,080","5,402,045,224","5,198,240,932","5,625,799,053","6,641,641,570","8,172,786,046","8,353,932,483","8,116,053,343","8,134,024,903","7,614,098,591","7,724,184,394","7,017,643,767"
"Multiple dwelling building total","3,696,956,662","3,536,760,123","3,492,629,087","3,622,319,426","3,762,313,935","4,180,012,083","4,713,277,544","4,716,691,690","4,515,849,700","4,593,817,425","4,835,947,099","4,575,832,847","4,098,335,307","3,725,151,024","3,827,099,550","4,269,377,712","4,620,277,226","4,998,959,080","5,155,708,672","5,332,561,700","5,215,113,341","4,946,869,234","4,726,414,407","4,610,686,166","4,312,223,167","4,080,730,199","3,955,954,397","4,493,180,473","5,310,216,907","5,578,568,386","5,883,288,217","5,977,469,441","5,796,542,664","5,485,064,780","5,450,354,581","5,437,859,549","4,957,505,942","4,809,411,979","4,632,878,659","3,420,052,063","4,340,346,702","5,081,240,784","5,625,979,240","6,448,519,002","6,631,629,260","6,170,769,465","5,940,969,405","6,016,819,814","5,827,005,550","5,470,561,524","5,448,397,033","5,993,678,533","6,313,472,281","6,457,492,552","6,744,154,117","6,789,908,487","6,420,951,759","6,225,536,320","6,138,943,417","6,122,765,344","6,192,649,218","5,926,288,969","5,598,668,302","5,857,263,702","6,449,911,675","6,982,806,263","7,739,028,053","8,113,488,492","7,663,303,194","7,401,839,782","7,046,122,463","6,584,690,590","6,296,061,797","6,055,797,765","5,669,561,417","5,749,412,810","5,975,630,443","6,396,738,686","7,092,972,102","7,561,045,183","7,932,426,156","8,134,556,065","7,827,033,733","7,457,187,737","6,974,718,133","6,530,675,478","6,443,280,973","6,519,770,694","7,118,580,271","8,115,694,343","8,690,314,965","9,026,100,829","9,220,339,204","8,559,397,994","7,820,132,695","7,701,967,974"
"Total non-residential","4,013,809,077","3,901,323,909","3,815,068,808","3,825,334,330","3,894,627,789","4,063,084,716","4,305,656,919","4,468,658,631","4,575,940,825","4,609,811,336","4,634,669,203","4,621,330,176","4,509,866,778","4,398,638,577","4,297,960,712","4,264,271,505","4,283,185,759","4,398,381,166","4,585,531,028","4,712,991,059","4,799,812,608","4,816,650,780","4,807,119,087","4,774,553,401","4,674,877,305","4,526,946,609","4,388,052,090","4,365,405,621","4,469,453,299","4,695,607,980","4,917,358,345","5,068,168,233","5,164,130,878","5,193,439,061","5,232,520,882","5,204,976,652","5,092,099,662","4,974,538,752","4,703,965,078","3,808,407,348","4,676,042,770","5,007,972,375","5,033,620,659","5,026,360,368","4,822,045,086","4,733,225,587","4,744,411,171","4,692,004,986","4,599,834,094","4,481,380,265","4,398,117,614","4,412,914,516","4,502,890,137","4,618,006,573","4,823,190,062","4,965,160,201","5,049,868,244","5,133,439,256","5,162,257,398","5,182,421,122","5,158,924,555","5,070,213,139","5,077,439,385","5,176,365,843","5,262,819,358","5,562,975,802","5,777,951,086","5,860,808,463","5,986,184,473","6,022,812,079","6,021,023,593","6,005,080,775","5,901,104,011","5,800,230,379","5,725,499,384","5,815,365,889","5,809,143,644","5,942,520,232","6,170,662,832","6,296,590,716","6,432,999,127","6,460,031,531","6,486,960,879","6,473,868,693","6,339,666,472","6,179,950,938","6,099,728,388","6,062,248,125","6,122,020,282","6,281,139,355","6,388,504,507","6,539,197,921","6,628,972,333","6,712,429,025","6,782,590,852","6,827,819,654"
"Total industrial","618,357,994","583,381,826","561,614,854","562,667,819","581,093,845","644,823,597","699,920,919","735,435,950","759,159,660","795,746,731","821,166,274","827,232,232","805,781,064","778,579,377","753,299,645","773,530,159","789,974,363","823,140,429","868,744,211","905,199,168","932,784,669","942,777,739","936,586,613","918,809,717","878,010,176","834,132,935","798,473,617","777,706,995","801,976,217","836,185,394","875,104,316","906,322,580","929,561,128","942,794,253","954,606,859","954,880,924","929,742,424","893,482,002","822,446,686","716,312,854","816,884,744","868,470,823","887,352,173","885,771,832","867,731,249","863,765,440","872,628,508","863,627,135","829,732,264","795,029,547","762,729,110","771,275,250","791,125,977","815,402,160","843,658,506","863,312,766","868,212,843","884,752,701","883,933,412","895,937,443","886,898,016","878,419,863","855,643,864","874,686,891","904,906,471","986,261,191","1,050,234,377","1,077,229,662","1,113,117,010","1,137,673,118","1,146,794,922","1,173,414,988","1,147,814,227","1,135,609,777","1,133,709,999","1,188,270,446","1,205,442,694","1,254,298,057","1,329,045,570","1,376,258,673","1,400,005,285","1,417,220,588","1,422,828,111","1,427,763,554","1,389,436,114","1,337,740,074","1,324,038,506","1,308,523,567","1,306,754,362","1,350,406,017","1,353,820,023","1,398,330,258","1,434,210,314","1,463,972,870","1,499,801,203","1,525,857,537"
"Total commercial","2,266,601,772","2,205,419,215","2,165,996,930","2,168,002,734","2,194,017,500","2,253,492,515","2,364,302,812","2,431,668,441","2,479,379,473","2,498,808,899","2,517,620,475","2,519,672,575","2,459,746,600","2,400,189,697","2,355,180,551","2,326,000,777","2,337,923,534","2,404,734,924","2,503,055,657","2,566,513,677","2,637,957,300","2,664,619,404","2,697,977,303","2,717,119,288","2,696,932,352","2,625,084,563","2,559,657,254","2,554,349,896","2,626,009,421","2,727,967,181","2,852,526,160","2,950,378,878","3,029,312,011","3,070,247,901","3,125,240,522","3,107,273,800","3,037,651,881","2,975,228,901","2,831,852,858","2,143,895,442","2,777,540,732","2,980,289,175","2,929,394,898","2,881,928,139","2,725,459,046","2,665,071,120","2,676,757,627","2,648,135,855","2,609,167,673","2,541,060,549","2,490,946,362","2,491,825,754","2,529,042,884","2,545,685,271","2,621,466,454","2,666,158,328","2,713,078,561","2,791,775,684","2,837,802,605","2,883,085,511","2,901,170,669","2,857,759,811","2,902,462,106","2,945,737,053","2,954,298,547","3,076,439,330","3,160,809,685","3,185,644,200","3,249,028,812","3,279,003,174","3,301,846,653","3,283,872,030","3,233,943,859","3,170,940,015","3,114,395,254","3,149,375,859","3,113,736,975","3,163,742,628","3,245,597,382","3,266,237,014","3,318,105,617","3,336,579,047","3,341,185,628","3,310,291,873","3,232,966,686","3,143,080,111","3,078,071,119","3,060,309,962","3,088,290,445","3,163,667,111","3,204,707,627","3,245,538,819","3,293,776,766","3,325,049,706","3,349,661,221","3,344,634,417"
"Total institutional and governmental","1,128,849,311","1,112,522,868","1,087,457,024","1,094,663,778","1,119,516,445","1,164,768,604","1,241,433,187","1,301,554,240","1,337,401,692","1,315,255,706","1,295,882,454","1,274,425,369","1,244,339,115","1,219,869,503","1,189,480,517","1,164,740,569","1,155,287,862","1,170,505,813","1,213,731,161","1,241,278,215","1,229,070,639","1,209,253,636","1,172,555,171","1,138,624,396","1,099,934,777","1,067,729,111","1,029,921,218","1,033,348,730","1,041,467,661","1,131,455,406","1,189,727,869","1,211,466,775","1,205,257,739","1,180,396,908","1,152,673,501","1,142,821,927","1,124,705,356","1,105,827,849","1,049,665,534","948,199,051","1,081,617,294","1,159,212,378","1,216,873,587","1,258,660,397","1,228,854,792","1,204,389,026","1,195,025,036","1,180,241,996","1,160,934,156","1,145,290,169","1,144,442,141","1,149,813,511","1,182,721,276","1,256,919,141","1,358,065,102","1,435,689,106","1,468,576,840","1,456,910,870","1,440,521,380","1,403,398,168","1,370,855,870","1,334,033,466","1,319,333,415","1,355,941,898","1,403,614,340","1,500,275,281","1,566,907,023","1,597,934,600","1,624,038,651","1,606,135,788","1,572,382,017","1,547,793,758","1,519,345,924","1,493,680,586","1,477,394,130","1,477,719,584","1,489,963,975","1,524,479,547","1,596,019,880","1,654,095,029","1,714,888,225","1,706,231,896","1,722,947,139","1,735,813,266","1,717,263,672","1,699,130,753","1,697,618,763","1,693,414,597","1,726,975,475","1,767,066,227","1,829,976,857","1,895,328,845","1,900,985,254","1,923,406,448","1,933,128,429","1,957,327,700"

