"Investment in building construction 1 2 3 4"
"Frequency: Monthly"
"Table: 34-10-0286-01"
"Release date: 2025-02-13"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work","New construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Value","Unadjusted - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of structure","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","6,522,886,834","6,283,664,215","5,886,843,808","5,944,483,567","6,219,943,378","6,834,644,190","7,432,296,067","7,041,401,945","6,958,075,514","7,162,786,213","7,254,158,941","7,103,804,765","6,886,340,113","6,549,029,238","6,068,586,867","6,067,342,886","6,496,874,983","7,165,719,035","7,533,025,733","7,600,242,994","7,568,041,586","7,402,017,580","7,117,909,229","6,925,374,950","6,691,835,074","6,349,414,655","5,913,894,184","6,002,390,008","6,596,721,874","7,373,312,449","7,878,100,282","8,117,170,118","8,093,849,374","8,029,963,981","7,833,802,063","7,613,138,986","7,339,161,484","7,096,016,465","6,592,976,500","5,822,031,860","6,791,384,617","7,614,806,371","8,103,279,754","8,502,830,693","8,537,250,345","8,538,247,879","8,542,390,376","8,468,467,605","8,393,727,035","8,297,624,917","8,048,279,109","8,509,261,106","9,160,828,386","9,621,725,739","9,962,622,186","9,950,095,628","9,738,812,042","9,636,164,245","9,401,967,061","9,207,395,611","9,070,018,377","8,806,934,769","8,537,675,719","9,012,273,213","9,613,818,652","10,795,729,576","11,342,776,895","11,333,640,361","11,321,194,483","11,095,826,513","10,562,761,084","10,072,738,826","9,581,177,196","9,046,167,425","8,412,237,247","8,503,918,689","8,808,554,824","9,498,592,030","10,313,548,438","10,712,665,037","11,017,504,252","11,130,910,948","10,851,648,589","10,534,088,952","10,015,758,837","9,450,543,726","8,869,761,918","8,746,368,009","9,291,538,887","10,024,064,945","10,485,893,212","10,906,016,759","11,088,965,630","11,217,945,926","11,162,829,640","10,946,772,041"
"Total residential","4,545,398,795","4,342,006,630","3,997,497,205","4,077,507,625","4,340,646,277","4,919,773,365","5,447,090,663","5,000,071,528","4,842,725,774","5,015,234,520","5,074,010,679","4,932,024,505","4,755,176,220","4,466,275,616","4,047,947,703","4,060,783,887","4,505,755,860","5,159,406,937","5,465,446,814","5,487,782,098","5,419,916,146","5,229,342,572","4,927,719,971","4,728,622,916","4,490,566,435","4,190,094,192","3,810,965,664","3,901,955,783","4,442,233,498","5,146,151,233","5,558,089,415","5,724,543,131","5,648,037,992","5,546,147,920","5,306,114,538","5,072,824,912","4,797,950,031","4,596,280,726","4,222,304,364","3,864,400,498","4,403,264,792","5,058,227,375","5,552,469,460","5,983,708,189","6,111,566,162","6,131,508,207","6,123,252,443","6,068,106,780","6,003,140,640","5,947,331,769","5,743,846,052","6,230,516,619","6,883,984,780","7,324,618,653","7,606,639,982","7,544,093,161","7,291,266,394","7,114,408,524","6,836,893,560","6,611,255,867","6,433,841,396","6,178,405,912","5,851,216,067","6,272,814,449","6,872,177,674","7,881,037,439","8,342,216,859","8,345,180,779","8,294,931,990","8,065,240,792","7,527,702,171","7,052,805,132","6,612,155,360","6,132,982,263","5,559,377,761","5,626,898,517","5,973,500,169","6,615,490,996","7,303,184,127","7,640,456,485","7,833,064,354","7,916,719,629","7,600,818,130","7,278,739,478","6,810,774,601","6,307,024,720","5,751,616,361","5,659,549,244","6,192,196,421","6,901,189,557","7,351,617,899","7,682,909,191","7,786,835,567","7,837,289,335","7,700,297,053","7,428,308,057"
"Single dwelling building total","2,298,524,319","2,162,321,315","1,873,873,775","1,955,369,512","2,198,049,307","2,666,043,317","3,017,409,287","2,486,179,175","2,289,281,206","2,432,805,396","2,403,278,269","2,322,855,224","2,247,068,929","2,054,126,063","1,741,892,625","1,750,130,560","2,055,730,745","2,480,255,100","2,657,645,789","2,607,244,396","2,498,048,320","2,311,976,295","2,059,759,122","1,930,339,193","1,761,825,259","1,520,664,974","1,218,527,272","1,251,891,764","1,584,811,769","2,084,642,424","2,364,581,241","2,455,043,145","2,389,707,418","2,274,212,451","2,049,829,606","1,883,501,741","1,731,530,904","1,600,139,565","1,419,076,384","1,348,706,430","1,579,524,506","1,938,716,466","2,246,576,728","2,465,408,421","2,516,229,016","2,546,663,149","2,435,497,101","2,267,194,035","2,203,791,555","2,193,432,577","2,095,331,124","2,459,541,043","2,954,206,363","3,331,498,344","3,546,240,274","3,545,390,928","3,398,069,438","3,217,387,292","2,949,978,887","2,798,679,984","2,633,193,828","2,464,907,829","2,237,645,788","2,537,442,061","2,951,387,370","3,531,477,380","3,762,799,783","3,724,157,484","3,632,178,211","3,462,262,887","3,048,579,429","2,715,405,985","2,478,662,205","2,237,062,784","1,886,796,143","1,925,296,650","2,155,795,399","2,561,395,142","2,854,024,285","2,883,319,654","2,826,729,920","2,779,957,159","2,548,586,770","2,357,897,944","2,164,603,250","1,962,502,156","1,716,185,403","1,756,021,850","2,019,883,130","2,412,586,894","2,650,901,610","2,767,172,066","2,815,304,077","2,837,061,850","2,726,201,943","2,523,535,204"
"Multiple dwelling building total","2,246,874,476","2,179,685,314","2,123,623,430","2,122,138,113","2,142,596,970","2,253,730,048","2,429,681,376","2,513,892,353","2,553,444,567","2,582,429,124","2,670,732,411","2,609,169,281","2,508,107,291","2,412,149,553","2,306,055,078","2,310,653,327","2,450,025,115","2,679,151,837","2,807,801,025","2,880,537,701","2,921,867,826","2,917,366,278","2,867,960,849","2,798,283,724","2,728,741,176","2,669,429,218","2,592,438,392","2,650,064,019","2,857,421,729","3,061,508,809","3,193,508,174","3,269,499,986","3,258,330,574","3,271,935,469","3,256,284,932","3,189,323,171","3,066,419,127","2,996,141,161","2,803,227,980","2,515,694,068","2,823,740,287","3,119,510,909","3,305,892,731","3,518,299,768","3,595,337,146","3,584,845,058","3,687,755,342","3,800,912,746","3,799,349,085","3,753,899,191","3,648,514,927","3,770,975,576","3,929,778,417","3,993,120,309","4,060,399,708","3,998,702,233","3,893,196,956","3,897,021,232","3,886,914,674","3,812,575,884","3,800,647,568","3,713,498,083","3,613,570,278","3,735,372,387","3,920,790,304","4,349,560,059","4,579,417,076","4,621,023,296","4,662,753,779","4,602,977,905","4,479,122,742","4,337,399,147","4,133,493,154","3,895,919,479","3,672,581,618","3,701,601,867","3,817,704,770","4,054,095,854","4,449,159,842","4,757,136,830","5,006,334,433","5,136,762,470","5,052,231,360","4,920,841,534","4,646,171,351","4,344,522,564","4,035,430,958","3,903,527,394","4,172,313,291","4,488,602,662","4,700,716,288","4,915,737,125","4,971,531,490","5,000,227,485","4,974,095,109","4,904,772,853"
"Total non-residential","1,977,488,039","1,941,657,585","1,889,346,603","1,866,975,942","1,879,297,101","1,914,870,824","1,985,205,404","2,041,330,417","2,115,349,740","2,147,551,693","2,180,148,262","2,171,780,259","2,131,163,893","2,082,753,622","2,020,639,164","2,006,558,999","1,991,119,123","2,006,312,098","2,067,578,919","2,112,460,897","2,148,125,439","2,172,675,008","2,190,189,258","2,196,752,034","2,201,268,639","2,159,320,462","2,102,928,520","2,100,434,225","2,154,488,376","2,227,161,217","2,320,010,867","2,392,626,987","2,445,811,382","2,483,816,060","2,527,687,525","2,540,314,074","2,541,211,452","2,499,735,738","2,370,672,136","1,957,631,363","2,388,119,825","2,556,578,996","2,550,810,295","2,519,122,504","2,425,684,184","2,406,739,673","2,419,137,933","2,400,360,825","2,390,586,395","2,350,293,148","2,304,433,057","2,278,744,487","2,276,843,605","2,297,107,086","2,355,982,204","2,406,002,467","2,447,545,648","2,521,755,721","2,565,073,501","2,596,139,744","2,636,176,981","2,628,528,857","2,686,459,652","2,739,458,764","2,741,640,978","2,914,692,137","3,000,560,036","2,988,459,581","3,026,262,492","3,030,585,721","3,035,058,913","3,019,933,694","2,969,021,836","2,913,185,162","2,852,859,486","2,877,020,172","2,835,054,656","2,883,101,035","3,010,364,311","3,072,208,553","3,184,439,899","3,214,191,320","3,250,830,459","3,255,349,474","3,204,984,235","3,143,519,006","3,118,145,557","3,086,818,765","3,099,342,466","3,122,875,389","3,134,275,313","3,223,107,568","3,302,130,064","3,380,656,591","3,462,532,588","3,518,463,984"
"Total industrial","327,868,001","310,583,955","291,694,467","286,670,835","289,092,409","326,646,865","359,340,835","384,098,456","403,956,187","429,122,348","447,894,819","446,796,140","441,414,760","433,634,563","419,493,379","435,365,401","444,280,932","458,384,589","481,924,603","500,884,366","510,981,008","513,873,121","511,726,165","502,876,888","488,593,816","467,192,373","446,239,212","434,555,720","448,440,699","460,425,859","487,008,599","509,850,796","532,297,694","549,509,132","553,857,767","555,843,761","546,361,815","528,576,810","490,003,753","434,151,037","486,408,879","506,588,210","513,357,379","501,033,022","489,463,168","488,716,361","488,934,949","482,368,826","465,908,867","449,908,193","434,191,575","435,965,075","433,938,357","439,988,665","452,200,396","466,664,079","476,648,690","482,637,168","482,292,720","490,869,674","488,707,979","496,122,512","485,319,176","497,589,110","507,051,311","563,276,391","596,618,742","613,545,936","636,419,199","645,762,205","647,482,695","662,292,310","650,369,025","646,777,209","641,678,958","684,812,984","690,531,614","723,777,114","770,765,278","810,700,622","832,108,114","842,954,638","845,726,148","843,474,711","822,086,310","789,574,668","782,432,527","768,611,512","761,802,850","780,101,606","775,129,851","808,840,976","842,860,716","867,031,029","900,375,723","934,539,320"
"Total commercial","1,019,354,809","999,883,507","980,550,467","966,792,591","984,394,500","1,000,952,265","1,042,273,570","1,073,729,249","1,102,362,783","1,119,276,536","1,130,956,400","1,130,502,892","1,105,988,108","1,074,548,387","1,041,640,938","1,021,575,060","1,012,276,097","1,025,178,744","1,061,325,399","1,088,497,532","1,118,331,770","1,137,695,681","1,155,402,440","1,172,443,285","1,196,420,652","1,179,901,806","1,158,198,575","1,168,775,652","1,217,559,427","1,275,479,774","1,345,744,886","1,394,735,105","1,431,650,202","1,453,662,980","1,493,088,561","1,493,362,681","1,491,331,834","1,470,131,622","1,406,068,419","1,091,079,229","1,409,548,459","1,526,217,260","1,502,995,122","1,473,459,749","1,403,287,083","1,386,501,200","1,381,985,660","1,359,808,812","1,362,728,897","1,335,141,192","1,299,733,244","1,277,679,625","1,278,967,764","1,275,768,902","1,306,301,586","1,327,574,094","1,350,166,052","1,408,970,791","1,435,154,310","1,457,658,340","1,493,978,929","1,482,807,107","1,540,750,440","1,542,580,487","1,517,402,853","1,574,888,375","1,607,180,516","1,584,115,105","1,582,044,884","1,582,035,985","1,590,767,018","1,572,921,175","1,545,794,714","1,511,676,060","1,464,398,993","1,461,771,042","1,422,827,603","1,438,505,165","1,495,597,388","1,516,990,428","1,560,988,808","1,580,370,795","1,587,395,489","1,577,075,226","1,547,395,492","1,519,132,821","1,493,560,718","1,473,136,022","1,480,973,518","1,479,328,049","1,489,884,006","1,510,153,442","1,550,642,176","1,565,235,758","1,578,609,798","1,568,858,033"
"Total institutional and governmental","630,265,229","631,190,123","617,101,669","613,512,517","605,810,192","587,271,695","583,590,999","583,502,712","609,030,770","599,152,808","601,297,043","594,481,227","583,761,025","574,570,672","559,504,847","549,618,538","534,562,094","522,748,765","524,328,917","523,078,999","518,812,661","521,106,205","523,060,652","521,431,861","516,254,171","512,226,284","498,490,733","497,102,853","488,488,251","491,255,584","487,257,382","488,041,086","481,863,486","480,643,948","480,741,196","491,107,633","503,517,803","501,027,307","474,599,965","432,401,097","492,162,487","523,773,525","534,457,794","544,629,732","532,933,933","531,522,112","548,217,324","558,183,187","561,948,631","565,243,763","570,508,239","565,099,787","563,937,485","581,349,519","597,480,222","611,764,293","620,730,906","630,147,762","647,626,471","647,611,730","653,490,073","649,599,239","660,390,036","699,289,167","717,186,814","776,527,371","796,760,778","790,798,541","807,798,410","802,787,531","796,809,200","784,720,209","772,858,097","754,731,893","746,781,535","730,436,147","721,695,439","720,818,756","744,001,645","744,517,503","791,342,976","790,865,887","817,708,822","834,799,537","835,502,433","834,811,516","842,152,312","845,071,231","856,566,098","863,445,734","869,261,456","904,113,150","908,627,172","948,389,804","983,547,066","1,015,066,631"

