"Investment in building construction 1 2 3 4"
"Frequency: Monthly"
"Table: 34-10-0286-01"
"Release date: 2025-02-13"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work","Conversions total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Value","Unadjusted - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of structure","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","112,409,501","107,519,416","86,784,044","83,713,272","98,913,852","121,812,094","134,281,446","152,544,770","148,020,951","158,209,692","196,516,293","202,118,151","164,652,445","114,641,174","94,885,943","101,749,743","126,877,864","136,779,747","162,200,090","193,839,734","175,799,794","144,890,698","159,053,651","196,736,780","202,723,562","179,111,818","154,432,947","133,861,348","125,333,365","134,360,178","145,924,884","131,511,876","129,887,011","163,493,405","217,165,876","226,577,696","192,843,380","175,173,848","162,284,891","79,720,241","122,083,825","144,504,140","167,185,039","197,587,321","216,500,753","187,462,727","186,739,061","223,418,874","208,385,224","170,364,969","164,908,785","185,608,725","221,933,432","287,787,708","353,801,699","333,038,724","288,818,510","309,227,140","308,207,744","253,464,557","223,285,998","208,264,547","233,642,038","318,919,279","347,397,409","283,796,909","290,895,295","323,933,945","355,447,279","356,485,056","302,209,602","275,388,490","254,969,770","217,735,936","218,680,812","245,506,831","254,036,664","249,349,424","277,371,776","308,811,506","298,995,286","287,307,221","282,224,341","283,726,303","281,468,825","253,960,651","252,990,612","262,560,686","291,196,417","362,798,581","397,678,517","402,531,536","434,252,436","461,398,408","430,724,382","409,545,949"
"Total residential","112,409,501","107,519,416","86,784,044","83,713,272","98,913,852","121,812,094","134,281,446","152,544,770","148,020,951","158,209,692","196,516,293","202,118,151","164,652,445","114,641,174","94,885,943","101,749,743","126,877,864","136,779,747","162,200,090","193,839,734","175,799,794","144,890,698","159,053,651","196,736,780","202,723,562","179,111,818","154,432,947","133,861,348","125,333,365","134,360,178","145,924,884","131,511,876","129,887,011","163,493,405","217,165,876","226,577,696","192,843,380","175,173,848","162,284,891","79,720,241","122,083,825","144,504,140","167,185,039","197,587,321","216,500,753","187,462,727","186,739,061","223,418,874","208,385,224","170,364,969","164,908,785","185,608,725","221,933,432","287,787,708","353,801,699","333,038,724","288,818,510","309,227,140","308,207,744","253,464,557","223,285,998","208,264,547","233,642,038","318,919,279","347,397,409","283,796,909","290,895,295","323,933,945","355,447,279","356,485,056","302,209,602","275,388,490","254,969,770","217,735,936","218,680,812","245,506,831","254,036,664","249,349,424","277,371,776","308,811,506","298,995,286","287,307,221","282,224,341","283,726,303","281,468,825","253,960,651","252,990,612","262,560,686","291,196,417","362,798,581","397,678,517","402,531,536","434,252,436","461,398,408","430,724,382","409,545,949"
"Single dwelling building total","528,048","734,488","1,292,864","1,571,955","1,018,019","1,067,588","1,189,418","877,580","731,632","885,884","1,019,812","1,228,638","1,259,213","1,199,955","1,318,585","893,649","614,129","986,829","852,596","1,233,354","2,006,982","1,125,989","1,229,977","1,132,447","801,895","620,902","1,030,211","1,202,629","725,475","474,389","653,961","1,076,844","1,276,010","871,679","1,054,115","875,940","701,608","556,655","406,144","141,542","530,930","1,023,020","1,360,232","2,011,910","1,968,487","1,228,216","1,133,777","1,036,068","1,097,699","936,118","727,538","931,181","1,149,616","1,014,733","1,269,777","1,852,926","1,575,731","4,454,581","4,609,131","3,019,751","2,030,737","2,263,659","2,182,706","1,211,199","1,568,196","1,918,405","2,579,217","2,323,106","1,828,555","1,569,325","1,472,326","1,613,364","1,400,685","1,196,440","1,235,836","2,009,208","2,271,970","3,322,040","3,084,654","1,743,699","1,863,933","1,459,241","2,099,309","2,579,154","2,429,216","1,592,935","1,092,133","1,246,905","1,873,654","1,886,174","1,594,488","2,222,211","3,098,677","1,971,222","2,205,587","2,071,535"
"Multiple dwelling building total","111,881,453","106,784,928","85,491,179","82,141,318","97,895,833","120,744,507","133,092,028","151,667,190","147,289,319","157,323,808","195,496,481","200,889,513","163,393,232","113,441,218","93,567,358","100,856,094","126,263,735","135,792,918","161,347,493","192,606,380","173,792,812","143,764,709","157,823,674","195,604,333","201,921,667","178,490,916","153,402,736","132,658,719","124,607,891","133,885,789","145,270,924","130,435,032","128,611,001","162,621,726","216,111,761","225,701,756","192,141,772","174,617,193","161,878,747","79,578,698","121,552,895","143,481,120","165,824,807","195,575,411","214,532,266","186,234,511","185,605,284","222,382,806","207,287,524","169,428,852","164,181,247","184,677,544","220,783,817","286,772,976","352,531,923","331,185,798","287,242,779","304,772,559","303,598,613","250,444,806","221,255,261","206,000,888","231,459,332","317,708,081","345,829,213","281,878,504","288,316,078","321,610,839","353,618,724","354,915,731","300,737,276","273,775,126","253,569,084","216,539,496","217,444,976","243,497,623","251,764,694","246,027,385","274,287,123","307,067,807","297,131,353","285,847,979","280,125,032","281,147,150","279,039,610","252,367,716","251,898,479","261,313,781","289,322,763","360,912,407","396,084,029","400,309,326","431,153,759","459,427,185","428,518,795","407,474,414"
"Total non-residential","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total industrial","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total commercial","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total institutional and governmental","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

