"Investment in building construction 1 2 3 4"
"Frequency: Monthly"
"Table: 34-10-0286-01"
"Release date: 2025-02-13"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work","Renovations total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Value","Unadjusted - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of structure","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","5,239,554,095","4,334,744,609","4,168,540,257","4,777,434,670","6,306,013,881","7,438,923,850","7,477,828,779","6,998,050,212","6,686,344,026","6,502,517,828","6,702,988,574","6,063,665,010","5,286,077,859","4,716,558,173","4,911,878,038","5,743,396,795","6,511,416,638","7,437,916,694","7,719,469,033","7,740,522,538","7,543,097,267","6,832,334,156","6,739,682,752","6,212,849,095","5,346,315,937","4,708,116,402","4,646,006,575","5,405,937,024","6,580,047,840","7,409,066,506","7,814,121,534","7,845,806,897","7,707,071,564","6,937,095,193","6,948,337,074","6,426,270,658","5,587,171,075","5,297,587,367","5,305,715,399","3,408,467,530","5,265,564,504","6,657,561,717","7,807,136,612","8,454,584,937","8,242,555,169","7,546,268,647","7,545,784,759","7,048,896,126","6,538,901,138","5,758,611,555","5,855,419,514","7,097,244,584","8,217,942,105","8,786,221,095","9,270,016,222","9,100,942,749","8,612,459,492","8,219,699,872","8,353,025,351","8,069,550,413","7,737,812,313","6,888,168,050","6,505,233,845","7,358,588,881","8,557,933,275","9,684,268,423","10,961,895,850","11,006,139,749","9,965,500,545","9,071,556,524","8,551,637,840","7,848,017,642","7,457,722,259","7,008,782,113","6,792,470,459","7,593,937,130","8,346,373,378","9,324,661,318","9,917,383,650","9,652,648,919","9,675,071,040","9,346,179,751","9,187,520,077","8,626,562,434","8,035,386,594","7,335,983,335","7,546,743,379","8,108,953,129","9,123,145,915","10,845,748,873","11,175,256,259","10,996,531,462","11,061,085,535","9,843,660,387","9,350,461,034","8,862,056,253"
"Total residential","3,919,681,219","3,043,944,458","2,897,688,557","3,486,563,608","4,982,351,647","6,025,578,815","5,956,023,263","5,388,671,881","5,036,909,831","4,842,547,202","5,046,691,631","4,409,158,769","3,661,005,189","3,115,509,539","3,333,632,469","4,173,536,489","4,924,360,801","5,789,510,605","5,993,711,937","5,959,986,926","5,733,175,944","5,034,229,796","4,968,629,117","4,472,207,404","3,665,434,461","3,084,020,724","3,078,385,330","3,864,948,576","5,020,749,097","5,793,910,797","6,125,865,279","6,090,287,054","5,922,302,705","5,162,520,369","5,190,653,405","4,699,206,428","3,919,402,717","3,655,771,735","3,745,388,521","2,181,464,757","3,718,796,873","4,983,963,884","6,126,771,562","6,786,237,159","6,648,268,347","6,011,568,697","6,035,185,554","5,580,388,721","5,121,729,569","4,386,332,587","4,503,886,829","5,737,545,559","6,799,705,914","7,295,349,825","7,678,525,535","7,438,779,396","6,908,267,342","6,493,566,060","6,625,656,494","6,352,943,284","6,048,869,372","5,230,740,367","4,868,930,003","5,684,523,862","6,810,085,066","7,831,065,376","9,020,806,656","8,983,568,571","7,873,131,496","6,962,292,433","6,476,562,800","5,775,716,733","5,428,467,196","4,990,724,540","4,779,406,524","5,518,397,551","6,244,650,594","7,154,266,960","7,693,407,590","7,376,557,552","7,370,877,124","7,033,609,951","6,873,084,701","6,315,910,129","5,771,935,681","5,124,854,308","5,370,957,033","5,942,433,948","6,932,430,375","8,571,474,330","8,828,065,908","8,620,283,972","8,687,660,060","7,471,935,566","7,011,102,628","6,551,910,738"
"Single dwelling building total","2,646,936,717","1,854,309,448","1,666,124,472","2,126,571,583","3,515,396,448","4,283,718,235","3,892,022,955","3,418,919,334","3,298,533,929","3,085,739,325","3,184,788,460","2,747,349,981","2,343,873,982","2,015,299,017","1,993,451,618","2,385,661,097","2,967,787,142","3,720,252,949","3,948,767,409","3,862,775,278","3,780,656,653","3,311,264,517","3,399,530,521","2,957,752,767","2,364,608,089","1,927,650,612","1,944,496,012","2,245,810,947","2,800,286,001","3,524,198,030","3,742,023,499","3,710,271,351","3,657,566,715","3,221,093,090","3,296,433,821","2,750,139,735","2,295,246,329","2,106,076,888","2,168,848,269","1,404,191,654","2,425,204,944","3,313,403,329","4,095,418,322","4,165,791,337","3,962,133,565","3,745,224,098","4,101,866,395","3,715,996,828","3,412,396,007","2,984,067,928","3,024,023,524","3,826,608,957","4,774,198,922","5,253,608,452","5,461,572,987","5,082,969,456","4,778,531,118","4,582,305,051","4,814,753,793","4,449,036,758","4,050,086,528","3,372,383,732","3,255,075,326","4,005,936,469","4,803,834,268","5,638,574,285","6,289,713,407","5,933,737,361","5,339,464,082","4,657,775,976","4,360,119,857","3,930,448,915","3,647,849,731","3,180,478,125","3,083,536,056","3,793,397,191","4,434,097,415","5,161,984,730","5,441,895,190","4,992,936,039","4,837,738,298","4,421,505,767","4,459,553,059","4,135,626,383","3,808,709,895","3,292,537,625","3,335,621,533","3,685,940,619","4,363,837,228","5,412,089,669","5,349,144,603","5,016,654,278","4,984,967,113","4,468,177,260","4,677,780,595","4,233,601,597"
"Multiple dwelling building total","1,272,744,502","1,189,635,010","1,231,564,085","1,359,992,025","1,466,955,199","1,741,860,581","2,064,000,308","1,969,752,547","1,738,375,902","1,756,807,878","1,861,903,170","1,661,808,787","1,317,131,207","1,100,210,522","1,340,180,851","1,787,875,392","1,956,573,658","2,069,257,656","2,044,944,528","2,097,211,648","1,952,519,291","1,722,965,279","1,569,098,596","1,514,454,637","1,300,826,372","1,156,370,111","1,133,889,318","1,619,137,629","2,220,463,097","2,269,712,767","2,383,841,780","2,380,015,703","2,264,735,990","1,941,427,279","1,894,219,584","1,949,066,693","1,624,156,388","1,549,694,847","1,576,540,251","777,273,103","1,293,591,930","1,670,560,554","2,031,353,240","2,620,445,823","2,686,134,782","2,266,344,599","1,933,319,159","1,864,391,894","1,709,333,562","1,402,264,659","1,479,863,305","1,910,936,603","2,025,506,991","2,041,741,373","2,216,952,548","2,355,809,940","2,129,736,224","1,911,261,008","1,810,902,701","1,903,906,526","1,998,782,844","1,858,356,634","1,613,854,677","1,678,587,393","2,006,250,798","2,192,491,091","2,731,093,250","3,049,831,210","2,533,667,415","2,304,516,457","2,116,442,943","1,845,267,818","1,780,617,465","1,810,246,415","1,695,870,468","1,725,000,359","1,810,553,179","1,992,282,230","2,251,512,399","2,383,621,513","2,533,138,826","2,612,104,185","2,413,531,642","2,180,283,746","1,963,225,786","1,832,316,682","2,035,335,500","2,256,493,329","2,568,593,147","3,159,384,661","3,478,921,305","3,603,629,694","3,702,692,948","3,003,758,306","2,333,322,032","2,318,309,141"
"Total non-residential","1,319,872,877","1,290,800,151","1,270,851,700","1,290,871,062","1,323,662,234","1,413,345,035","1,521,805,516","1,609,378,331","1,649,434,195","1,659,970,625","1,656,296,944","1,654,506,241","1,625,072,670","1,601,048,633","1,578,245,569","1,569,860,306","1,587,055,837","1,648,406,089","1,725,757,096","1,780,535,612","1,809,921,323","1,798,104,360","1,771,053,635","1,740,641,690","1,680,881,476","1,624,095,678","1,567,621,245","1,540,988,448","1,559,298,743","1,615,155,710","1,688,256,255","1,755,519,843","1,784,768,859","1,774,574,823","1,757,683,670","1,727,064,229","1,667,768,358","1,641,815,631","1,560,326,878","1,227,002,773","1,546,767,631","1,673,597,833","1,680,365,050","1,668,347,778","1,594,286,822","1,534,699,950","1,510,599,204","1,468,507,404","1,417,171,569","1,372,278,968","1,351,532,685","1,359,699,025","1,418,236,191","1,490,871,270","1,591,490,687","1,662,163,353","1,704,192,150","1,726,133,813","1,727,368,857","1,716,607,129","1,688,942,942","1,657,427,684","1,636,303,842","1,674,065,019","1,747,848,209","1,853,203,047","1,941,089,194","2,022,571,178","2,092,369,048","2,109,264,091","2,075,075,040","2,072,300,909","2,029,255,064","2,018,057,573","2,013,063,935","2,075,539,579","2,101,722,784","2,170,394,358","2,223,976,060","2,276,091,367","2,304,193,916","2,312,569,800","2,314,435,376","2,310,652,305","2,263,450,913","2,211,129,027","2,175,786,346","2,166,519,181","2,190,715,541","2,274,274,542","2,347,190,351","2,376,247,490","2,373,425,475","2,371,724,821","2,339,358,406","2,310,145,514"
"Total industrial","150,242,789","148,961,945","144,825,586","144,376,395","145,958,983","148,564,492","150,150,105","150,926,189","152,896,158","162,437,087","169,616,168","179,752,112","179,411,692","178,212,638","177,275,372","182,792,362","182,568,072","189,454,509","193,424,147","198,190,994","208,236,527","209,333,226","207,722,479","203,074,302","193,501,888","186,857,841","179,247,261","174,052,160","174,634,291","177,505,229","179,068,389","182,314,310","182,963,128","181,686,650","181,115,627","181,407,940","178,951,753","176,319,277","162,737,818","135,500,179","155,578,855","169,783,269","174,017,768","175,144,823","169,117,815","163,706,478","167,315,654","165,275,112","162,280,691","158,701,775","154,108,012","153,583,937","163,463,159","171,621,503","180,272,977","186,366,162","185,236,382","197,735,225","201,320,630","205,214,195","208,663,394","209,375,979","207,593,874","211,907,950","222,717,820","244,044,276","258,005,195","265,976,860","274,391,568","279,830,823","276,304,263","288,143,111","284,154,259","285,950,470","284,080,416","292,966,553","295,132,611","300,164,235","302,985,591","305,182,901","306,690,827","309,923,779","308,514,984","312,117,234","307,168,029","303,185,079","305,434,076","305,650,630","304,964,308","319,384,127","321,968,135","325,939,904","326,152,781","327,899,506","324,325,369","317,277,921"
"Total commercial","881,020,707","863,982,043","851,187,749","860,664,709","865,550,847","902,035,742","947,270,245","988,084,459","1,016,292,937","1,024,515,554","1,027,225,818","1,029,501,991","1,013,542,170","998,816,117","988,747,340","981,958,979","990,930,224","1,021,375,182","1,063,299,212","1,093,124,588","1,119,161,179","1,124,389,632","1,130,681,977","1,131,187,847","1,103,618,629","1,073,882,599","1,040,405,242","1,023,896,625","1,030,161,538","1,052,936,197","1,080,556,682","1,116,071,692","1,139,519,060","1,147,159,818","1,154,832,197","1,143,176,582","1,109,979,898","1,101,399,051","1,051,708,360","783,610,204","1,031,807,952","1,108,223,418","1,082,484,161","1,046,997,207","987,347,500","945,234,042","936,179,069","916,185,237","880,200,491","851,580,989","837,489,941","835,187,635","852,728,605","868,858,445","897,317,101","914,315,209","938,618,136","960,332,939","981,662,566","995,859,596","994,395,501","985,134,461","985,128,899","1,017,074,278","1,051,021,586","1,102,108,736","1,143,656,811","1,187,886,684","1,242,000,221","1,263,762,814","1,256,882,865","1,252,761,648","1,232,864,673","1,222,909,565","1,221,754,432","1,256,278,233","1,262,036,875","1,294,454,100","1,313,053,792","1,315,795,476","1,334,669,073","1,347,092,776","1,362,777,992","1,359,314,173","1,328,434,049","1,289,590,005","1,258,307,916","1,258,667,515","1,267,132,472","1,305,435,758","1,330,836,990","1,340,695,629","1,340,900,070","1,355,097,816","1,355,969,218","1,354,787,413"
"Total institutional and governmental","288,609,381","277,856,164","274,838,364","285,829,959","312,152,403","362,744,801","424,385,166","470,367,683","480,245,100","473,017,984","459,454,958","445,252,138","432,118,808","424,019,878","412,222,857","405,108,965","413,557,541","437,576,397","469,033,736","489,220,031","482,523,617","464,381,502","432,649,179","406,379,540","383,760,960","363,355,238","347,968,742","343,039,663","354,502,913","384,714,283","428,631,184","457,133,840","462,286,671","445,728,356","421,735,846","402,479,708","378,836,707","364,097,304","345,880,700","307,892,391","359,380,823","395,591,146","423,863,121","446,205,748","437,821,507","425,759,430","407,104,482","387,047,055","374,690,387","361,996,204","359,934,733","370,927,452","402,044,427","450,391,321","513,900,608","561,481,982","580,337,632","568,065,649","544,385,662","515,533,338","485,884,047","462,917,244","443,581,069","445,082,790","474,108,804","507,050,034","539,427,188","568,707,634","575,977,258","565,670,454","541,887,912","531,396,150","512,236,131","509,197,538","507,229,087","526,294,793","544,553,298","575,776,023","607,936,677","655,112,990","662,834,015","655,553,244","643,142,400","639,220,897","627,848,834","618,353,943","612,044,354","602,201,036","618,618,761","649,454,658","694,385,226","709,611,957","706,372,623","688,727,499","659,063,819","638,080,180"

