"Building permits, by type of structure and type of work (x 1,000) 1 2 3"
"Frequency: Monthly"
"Table: 34-10-0285-01"
"Release date: 2025-02-11"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Seasonal adjustment, value type 4 5","Unadjusted, current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work 6","Types of work, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","Value of permits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of building","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","5,332,663","5,468,808","7,301,390","7,221,880","9,711,367","10,672,320","9,405,006","8,531,229","8,614,148","9,367,192","7,457,196","6,174,455","6,404,895","5,986,070","7,658,876","7,920,720","10,001,281","10,400,101","9,533,008","8,934,174","8,075,743","9,267,280","8,075,520","7,515,164","6,512,104","5,561,951","7,960,528","9,306,731","10,241,289","9,900,753","10,034,590","9,900,155","8,512,904","9,486,547","7,413,503","8,032,511","7,370,789","6,080,434","6,940,114","5,787,303","8,816,853","10,489,264","9,519,224","8,705,177","10,418,298","9,459,294","9,168,848","8,272,983","8,105,368","7,822,167","11,275,217","11,325,484","10,826,070","12,839,299","11,159,185","10,358,871","11,220,210","10,977,463","11,376,500","10,085,415","7,776,187","10,389,417","12,626,964","11,957,155","13,509,717","14,906,079","11,638,764","13,333,790","10,383,135","9,173,952","11,835,427","9,087,706","7,563,320","8,132,887","13,640,006","9,222,207","12,871,359","17,088,412","12,156,291","12,734,094","11,641,939","10,908,137","11,557,022","7,275,115","7,960,842","9,787,643","11,056,066","14,443,203","14,031,841","12,190,848","14,230,621","12,587,175","13,740,293","12,654,028","11,779,339","10,839,928"
"Total residential","3,507,738","3,564,224","4,794,456","4,424,535","6,365,135","6,451,454","5,660,361","5,511,418","5,147,374","5,601,807","4,666,876","3,996,698","4,063,749","3,772,228","4,922,624","5,341,330","6,829,125","6,593,340","5,940,374","5,299,180","5,017,009","5,823,003","4,804,142","4,437,273","4,272,880","3,310,610","4,446,372","5,792,647","6,457,605","5,987,666","5,965,479","6,439,542","5,285,339","5,545,139","4,190,118","4,419,231","4,660,665","3,819,689","4,285,018","3,947,394","6,145,012","6,948,268","6,136,995","6,290,465","6,587,502","6,774,569","5,990,962","5,585,193","5,851,492","4,979,268","8,490,265","8,057,218","7,589,053","8,794,013","7,759,924","6,802,375","7,403,249","7,256,660","7,730,426","6,681,573","5,046,342","5,507,310","8,728,365","8,110,157","9,115,687","10,577,250","7,938,498","8,909,047","7,089,382","5,790,143","7,161,183","5,657,447","4,249,864","4,754,273","7,716,092","6,137,067","8,278,652","10,143,833","7,642,659","7,314,360","7,999,459","6,753,630","7,298,637","4,273,478","4,537,706","5,435,641","6,718,557","9,932,505","9,027,110","7,910,674","8,559,424","7,445,814","8,349,674","7,909,176","7,156,606","7,681,487"
"Single dwelling building total","1,780,055","1,626,329","2,695,569","2,660,606","3,632,658","3,244,725","2,849,349","2,886,087","2,831,434","2,806,376","2,411,362","1,774,505","1,867,380","1,598,079","2,218,730","2,523,892","3,312,184","3,023,912","2,775,888","2,449,465","2,325,623","2,652,431","1,972,069","1,165,595","1,322,864","1,257,733","1,860,308","2,494,160","3,137,191","2,826,715","2,847,248","2,592,984","2,423,993","2,456,050","1,991,844","1,366,353","1,550,425","1,704,073","1,969,506","1,602,450","2,544,924","2,884,547","2,853,916","2,701,115","3,134,332","3,039,771","2,623,643","2,157,808","2,343,289","2,452,118","3,903,696","4,044,449","4,055,616","4,352,828","3,545,415","3,392,277","3,319,629","3,509,923","3,306,224","2,511,478","2,322,098","2,478,599","3,748,485","3,858,969","4,802,687","4,809,287","3,794,298","3,795,344","3,341,503","2,787,285","2,712,811","1,882,734","1,727,605","1,797,468","2,743,904","2,644,748","3,561,586","3,571,710","3,045,477","3,229,691","2,858,470","2,929,631","2,675,483","1,785,866","1,672,173","2,024,165","2,315,878","2,984,160","3,441,992","3,319,369","3,131,315","3,068,936","2,868,270","3,276,619","2,551,250","1,907,561"
"Multiple dwelling building total","1,727,683","1,937,895","2,098,887","1,763,929","2,732,477","3,206,729","2,811,012","2,625,331","2,315,940","2,795,431","2,255,514","2,222,193","2,196,369","2,174,149","2,703,894","2,817,438","3,516,941","3,569,428","3,164,486","2,849,715","2,691,386","3,170,572","2,832,073","3,271,678","2,950,016","2,052,877","2,586,064","3,298,487","3,320,414","3,160,951","3,118,232","3,846,559","2,861,346","3,089,089","2,198,275","3,052,878","3,110,240","2,115,616","2,315,512","2,344,944","3,600,089","4,063,721","3,283,078","3,589,349","3,453,170","3,734,798","3,367,320","3,427,385","3,508,204","2,527,150","4,586,569","4,012,768","3,533,438","4,441,185","4,214,509","3,410,098","4,083,620","3,746,737","4,424,202","4,170,095","2,724,243","3,028,712","4,979,880","4,251,188","4,313,001","5,767,963","4,144,200","5,113,703","3,747,879","3,002,857","4,448,372","3,774,713","2,522,259","2,956,805","4,972,188","3,492,320","4,717,066","6,572,123","4,597,182","4,084,670","5,140,989","3,823,999","4,623,153","2,487,611","2,865,534","3,411,476","4,402,679","6,948,345","5,585,118","4,591,306","5,428,109","4,376,878","5,481,405","4,632,557","4,605,356","5,773,926"
"Total non-residential","1,824,925","1,904,584","2,506,934","2,797,345","3,346,232","4,220,866","3,744,645","3,019,811","3,466,774","3,765,385","2,790,320","2,177,757","2,341,146","2,213,842","2,736,253","2,579,390","3,172,156","3,806,760","3,592,634","3,634,994","3,058,734","3,444,277","3,271,378","3,077,891","2,239,225","2,251,341","3,514,156","3,514,084","3,783,684","3,913,087","4,069,111","3,460,612","3,227,565","3,941,408","3,223,384","3,613,281","2,710,124","2,260,746","2,655,095","1,839,910","2,671,841","3,540,996","3,382,229","2,414,712","3,830,796","2,684,725","3,177,886","2,687,789","2,253,876","2,842,898","2,784,952","3,268,266","3,237,017","4,045,287","3,399,261","3,556,495","3,816,961","3,720,803","3,646,075","3,403,843","2,729,845","4,882,106","3,898,599","3,846,998","4,394,030","4,328,828","3,700,265","4,424,743","3,293,753","3,383,809","4,674,244","3,430,259","3,313,456","3,378,614","5,923,914","3,085,139","4,592,706","6,944,580","4,513,632","5,419,734","3,642,480","4,154,507","4,258,385","3,001,637","3,423,135","4,352,002","4,337,509","4,510,698","5,004,730","4,280,174","5,671,197","5,141,361","5,390,619","4,744,852","4,622,732","3,158,441"
"Total industrial","315,270","259,543","454,997","463,498","718,045","872,846","657,905","582,560","672,666","1,014,295","520,549","500,598","394,701","443,500","614,824","454,627","723,920","798,724","971,607","894,173","616,344","512,857","457,160","519,986","423,074","485,416","507,047","956,673","721,044","743,019","765,523","837,029","636,139","677,704","667,986","561,569","485,277","319,338","564,276","333,946","667,495","792,173","554,957","545,430","794,158","650,902","523,394","283,036","368,047","382,738","756,881","597,964","542,167","636,136","664,850","600,733","870,066","490,824","804,221","678,947","855,722","428,539","843,668","954,934","955,159","967,973","624,171","889,017","766,559","766,113","1,396,165","545,265","845,721","854,240","1,929,707","592,614","983,107","1,460,662","1,124,257","846,366","903,808","858,707","1,174,152","654,425","695,597","1,256,574","850,470","731,079","1,345,512","633,669","1,680,665","1,568,984","1,228,070","1,137,727","1,172,614","637,822"
"Total commercial","1,021,750","1,262,045","1,355,398","1,190,123","1,699,932","2,213,962","1,648,281","1,702,715","1,386,329","1,960,155","1,588,072","1,202,629","1,338,287","1,306,732","1,609,545","1,589,024","1,816,933","2,109,868","1,799,017","1,956,197","1,590,270","2,187,897","2,155,912","2,132,900","1,358,762","1,299,217","2,030,998","1,897,571","2,089,546","2,280,875","2,300,129","1,990,858","1,972,142","2,518,206","1,591,313","2,101,493","1,678,277","1,440,353","1,435,455","1,044,536","1,364,884","1,477,132","2,000,987","1,324,512","2,159,446","1,335,446","1,641,960","1,579,825","1,259,777","1,466,875","1,288,477","1,833,359","1,604,381","1,997,060","1,818,453","1,985,270","2,201,505","1,925,556","2,245,643","2,075,895","1,316,825","1,953,691","1,916,952","1,735,328","2,032,216","2,411,215","2,298,440","2,389,339","1,896,491","2,053,644","2,250,796","2,034,645","1,755,934","1,631,761","2,716,717","1,198,766","2,403,376","2,869,835","1,908,943","2,449,622","2,040,986","1,864,336","1,731,021","1,583,417","1,945,847","1,832,032","2,317,537","2,347,950","2,430,305","2,108,137","2,408,758","2,476,778","2,287,095","2,132,948","1,885,357","1,525,477"
"Total institutional and governmental","487,905","382,996","696,539","1,143,724","928,255","1,134,058","1,438,459","734,536","1,407,779","790,935","681,699","474,530","608,158","463,610","511,884","535,739","631,303","898,168","822,010","784,624","852,120","743,523","658,306","425,005","457,389","466,708","976,110","659,840","973,094","889,193","1,003,459","632,725","619,284","745,498","964,085","950,219","546,571","501,055","655,363","461,428","639,463","1,271,691","826,285","544,770","877,192","698,377","1,012,531","824,928","626,052","993,286","739,595","836,943","1,090,469","1,412,091","915,959","970,492","745,389","1,304,423","596,210","649,001","557,298","2,499,876","1,137,979","1,156,737","1,406,655","949,640","777,654","1,146,387","630,703","564,051","1,027,283","850,349","711,801","892,613","1,277,490","1,293,759","1,206,224","2,614,083","1,480,432","2,123,746","697,686","1,431,464","1,353,213","763,794","781,691","1,263,396","1,169,502","1,431,668","1,228,913","1,538,368","1,581,774","1,095,599","1,875,454","1,474,176","1,564,762","995,142"

