"Population estimates, quarterly 1 2 3 4"
"Frequency: Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2024-12-17"
"Geography: Canada, Province or territory"
""
""

"Geography","Q1 1946","Q2 1946","Q3 1946","Q4 1946","Q1 1947","Q2 1947","Q3 1947","Q4 1947","Q1 1948","Q2 1948","Q3 1948","Q4 1948","Q1 1949","Q2 1949","Q3 1949","Q4 1949","Q1 1950","Q2 1950","Q3 1950","Q4 1950","Q1 1951","Q2 1951","Q3 1951","Q4 1951","Q1 1952","Q2 1952","Q3 1952","Q4 1952","Q1 1953","Q2 1953","Q3 1953","Q4 1953","Q1 1954","Q2 1954","Q3 1954","Q4 1954","Q1 1955","Q2 1955","Q3 1955","Q4 1955","Q1 1956","Q2 1956","Q3 1956","Q4 1956","Q1 1957","Q2 1957","Q3 1957","Q4 1957","Q1 1958","Q2 1958","Q3 1958","Q4 1958","Q1 1959","Q2 1959","Q3 1959","Q4 1959","Q1 1960","Q2 1960","Q3 1960","Q4 1960","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","12,188,000","12,241,000","12,316,000","12,393,000","12,450,000","12,507,000","12,576,000","12,646,000","12,710,000","12,773,000","12,852,000","12,930,000","12,998,000","13,399,000","13,475,000","13,548,000","13,607,000","13,663,000","13,737,000","13,807,000","13,870,000","13,937,000","14,050,000","14,163,000","14,277,000","14,376,000","14,496,000","14,598,000","14,682,000","14,763,000","14,886,000","15,001,000","15,105,000","15,199,000","15,330,000","15,444,000","15,535,000","15,620,000","15,736,000","15,834,000","15,919,000","16,004,000","16,123,000","16,235,000","16,352,000","16,479,000","16,677,000","16,810,000","16,907,000","16,997,000","17,120,000","17,225,000","17,318,000","17,406,000","17,522,000","17,624,000","17,710,000","17,793,000","17,909,000","18,009,000","18,092,000","18,172,000","18,271,000","18,363,000","18,442,000","18,519,000","18,614,000","18,708,000","18,787,000","18,864,000","18,964,000","19,061,000","19,142,000","19,222,000","19,325,000","19,420,000","19,501,000","19,578,000","19,678,000","19,777,000","19,857,000","19,939,000","20,048,000","20,146,000","20,228,000","20,306,000","20,412,000","20,509,000","20,581,000","20,644,000","20,729,000","20,814,000","20,888,000","20,950,000","21,028,000","21,111,000","21,182,000","21,244,000","21,324,000","21,400,000","21,465,000","21,523,000","21,962,032","22,039,243","22,092,498","22,148,919","22,218,463","22,288,499","22,347,459","22,405,392","22,491,777","22,570,338","22,649,538","22,723,274","22,807,969","22,907,390","22,979,190","23,048,990","23,143,275","23,240,585","23,304,197","23,369,845","23,449,808","23,533,565","23,591,713","23,656,739","23,725,843","23,801,445","23,849,503","23,903,687","23,963,203","24,025,447","24,071,889","24,128,180","24,201,544","24,279,044","24,345,365","24,418,295","24,515,667","24,603,534","24,665,355","24,732,826","24,819,915","24,920,120","24,979,229","25,042,069","25,116,942","25,193,538","25,242,830","25,300,372","25,366,451","25,434,150","25,482,358","25,539,861","25,607,053","25,677,668","25,721,170","25,774,717","25,842,116","25,914,797","25,962,414","26,019,615","26,100,278","26,187,639","26,256,140","26,346,370","26,446,601","26,542,370","26,602,328","26,679,165","26,791,747","26,932,655","27,032,356","27,147,776","27,276,781","27,402,695","27,463,550","27,567,161","27,691,138","27,807,591","27,854,861","27,928,837","28,037,420","28,127,327","28,181,477","28,269,699","28,371,264","28,474,177","28,533,602","28,600,864","28,684,764","28,786,619","28,835,772","28,907,448","29,000,663","29,096,372","29,141,902","29,211,541","29,302,311","29,396,274","29,446,857","29,514,217","29,610,218","29,708,206","29,751,536","29,818,012","29,905,948","29,994,790","30,028,506","30,080,180","30,155,173","30,231,639","30,260,117","30,314,696","30,401,286","30,492,106","30,525,872","30,594,030","30,685,730","30,783,969","30,824,441","30,910,996","31,020,855","31,128,873","31,168,896","31,252,682","31,359,199","31,450,677","31,479,415","31,549,344","31,642,461","31,736,141","31,775,723","31,844,704","31,938,807","32,038,207","32,075,011","32,140,569","32,242,732","32,353,311","32,394,909","32,470,171","32,571,193","32,680,839","32,717,848","32,785,964","32,888,886","33,001,918","33,050,262","33,127,394","33,247,298","33,372,978","33,427,754","33,512,305","33,630,069","33,758,581","33,809,016","33,890,461","34,005,902","34,132,531","34,166,633","34,230,555","34,339,221","34,457,713","34,516,032","34,592,192","34,713,395","34,834,973","34,881,794","34,956,567","35,080,992","35,209,597","35,247,023","35,320,540","35,434,066","35,555,305","35,571,043","35,606,734","35,704,498","35,823,591","35,871,484","35,970,407","36,110,803","36,257,421","36,313,068","36,397,141","36,545,075","36,722,075","36,801,579","36,903,671","37,072,620","37,259,485","37,336,956","37,437,243","37,618,495","37,828,162","37,928,208","38,006,941","38,028,638","38,027,406","38,058,291","38,140,918","38,239,864","38,446,871","38,566,032","38,682,424","38,935,934","39,279,501","39,527,986","39,748,878","40,083,484","40,513,781","40,784,356","41,038,370","41,288,599","41,465,298"
"Newfoundland and Labrador","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","362,000","365,000","368,000","371,000","375,000","377,000","379,000","382,000","384,000","387,000","390,000","393,000","396,000","399,000","401,000","404,000","407,000","410,000","412,000","414,000","416,000","418,000","420,000","422,000","425,000","427,000","428,000","430,000","433,000","435,000","437,000","439,000","441,000","443,000","445,000","447,000","449,000","452,000","454,000","456,000","459,000","462,000","464,000","466,000","469,000","471,000","473,000","474,000","477,000","479,000","480,000","482,000","484,000","485,000","485,000","486,000","488,000","489,000","490,000","492,000","494,000","496,000","496,000","498,000","500,000","502,000","503,000","505,000","507,000","509,000","511,000","513,000","515,000","516,000","516,000","516,000","518,000","519,000","519,000","521,000","530,854","534,471","535,736","537,368","539,124","541,472","542,983","544,026","545,561","546,717","547,107","547,385","549,604","551,508","552,812","554,166","556,496","558,900","560,024","560,856","562,639","563,591","563,387","564,217","565,348","566,116","565,981","566,671","567,639","568,417","568,329","569,012","570,075","570,976","570,899","571,554","572,759","573,582","573,420","574,199","575,302","575,276","573,343","573,292","573,795","575,898","576,813","577,523","579,164","579,603","579,558","579,810","580,065","579,356","579,043","579,320","579,275","577,784","577,248","577,105","576,306","575,396","575,586","575,802","575,242","574,094","574,543","574,912","574,982","574,645","575,626","576,458","576,551","575,594","576,278","577,167","577,368","577,113","577,377","578,397","579,644","579,549","579,425","579,761","580,109","579,624","580,819","580,369","579,977","578,194","577,128","575,670","574,466","572,068","570,563","569,068","567,397","565,008","563,679","561,646","559,698","557,281","555,432","553,115","550,911","547,639","545,769","542,479","539,843","537,908","536,515","534,498","533,329","532,246","531,774","529,574","527,966","526,732","525,299","523,235","522,043","521,583","521,414","520,176","519,411","519,387","519,140","518,735","518,389","518,718","518,677","517,888","517,375","516,863","516,750","515,324","514,310","513,725","512,554","510,959","510,593","510,325","510,329","509,126","509,047","510,256","510,989","511,239","511,569","513,425","514,210","514,707","516,741","518,975","520,276","521,197","522,002","522,861","523,723","524,238","524,955","525,845","526,115","525,550","526,235","527,065","527,129","527,177","526,960","527,948","528,065","527,314","527,970","528,266","528,161","527,859","528,348","528,843","528,903","529,083","529,586","530,368","530,175","529,700","529,742","530,153","529,743","528,924","528,402","528,926","528,326","527,993","527,643","528,442","528,231","527,733","526,884","526,046","525,895","526,195","527,056","528,302","528,957","529,042","531,308","533,409","535,298","536,686","538,907","541,000","541,820","543,141","545,247","545,880"
"Prince Edward Island","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","99,000","99,000","100,000","100,000","100,000","101,000","101,000","101,000","101,000","101,000","101,000","101,000","101,000","101,000","100,000","100,000","100,000","100,000","100,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","100,000","100,000","101,000","101,000","101,000","102,000","102,000","103,000","103,000","103,000","104,000","104,000","104,000","105,000","106,000","107,000","107,000","107,000","107,000","107,000","108,000","108,000","109,000","109,000","109,000","109,000","109,000","109,000","109,000","109,000","109,000","108,000","108,000","109,000","109,000","109,000","109,000","109,000","109,000","110,000","110,000","110,000","111,000","111,000","111,000","111,000","111,000","110,000","110,000","110,000","111,000","111,000","111,000","112,591","112,874","112,964","113,314","113,460","113,960","114,276","114,437","114,620","114,944","115,189","115,566","115,962","116,401","117,031","117,316","117,724","118,009","118,264","118,298","118,648","118,925","119,121","119,297","119,902","120,459","120,764","121,014","121,684","121,952","122,104","122,277","122,885","123,002","123,109","123,275","123,735","123,445","123,315","123,285","123,551","123,496","123,335","123,225","123,588","123,919","124,181","124,479","125,102","125,634","125,906","126,184","126,563","126,877","127,330","127,486","127,619","127,864","128,256","128,403","128,436","128,281","128,429","128,645","128,641","128,758","129,152","129,242","129,289","129,327","129,984","130,192","130,153","129,900","130,336","130,468","130,404","130,367","130,477","130,453","130,369","130,360","130,604","130,812","130,827","131,201","131,564","131,833","132,177","132,467","132,752","133,030","133,437","133,800","134,060","134,175","134,415","134,971","135,119","135,311","135,737","136,004","135,935","135,931","136,095","136,165","135,938","135,635","135,804","135,908","135,994","136,025","136,281","136,424","136,442","136,289","136,470","136,400","136,377","136,499","136,667","136,876","136,858","136,893","136,882","137,082","137,079","137,124","137,231","137,430","137,512","137,631","137,682","137,697","137,691","137,790","138,067","138,133","137,908","137,847","137,869","137,898","137,777","137,707","137,709","138,020","137,990","138,175","138,736","139,448","139,114","139,190","139,873","140,596","140,598","140,978","141,644","142,725","143,016","143,265","143,918","144,283","144,208","144,365","144,415","144,396","144,041","143,807","143,942","143,943","143,828","143,810","144,095","144,342","144,162","144,046","144,636","144,949","145,238","145,792","146,891","147,699","147,811","148,354","149,740","150,595","150,619","151,008","152,259","153,906","153,881","154,409","155,792","157,025","157,494","158,401","159,193","159,179","159,240","160,334","162,133","163,728","164,164","165,574","167,213","169,032","170,077","171,856","173,713","175,871","176,318","177,318","178,550","179,301"
"Nova Scotia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","643,000","646,000","647,000","651,000","654,000","657,000","660,000","662,000","664,000","667,000","668,000","670,000","674,000","676,000","678,000","681,000","684,000","688,000","690,000","693,000","695,000","695,000","695,000","698,000","701,000","702,000","705,000","707,000","710,000","713,000","716,000","718,000","720,000","722,000","722,000","725,000","728,000","731,000","732,000","735,000","738,000","740,000","742,000","744,000","746,000","748,000","747,000","749,000","751,000","752,000","752,000","753,000","755,000","756,000","755,000","754,000","756,000","755,000","754,000","755,000","757,000","756,000","757,000","758,000","761,000","762,000","764,000","765,000","768,000","771,000","771,000","774,000","777,000","778,000","779,000","780,000","783,000","784,000","785,000","788,000","797,294","798,804","800,513","800,542","802,255","805,317","808,614","809,697","812,386","814,351","816,353","816,688","818,751","821,251","823,084","824,791","826,549","830,351","832,765","833,741","835,166","837,578","838,385","839,315","840,028","842,051","842,961","843,663","844,628","846,612","847,511","848,272","849,396","850,336","850,915","851,541","852,659","853,389","853,673","854,024","854,871","857,038","857,469","857,592","859,038","862,255","864,117","865,796","868,289","872,143","874,076","875,922","877,471","881,323","883,012","884,525","885,848","887,408","887,435","888,157","889,087","891,078","891,424","891,908","893,606","894,585","894,600","895,638","897,216","899,462","900,270","901,341","903,841","906,644","907,394","908,444","910,451","911,749","912,792","912,889","914,969","916,896","917,302","917,555","919,451","921,619","922,128","922,469","923,925","925,851","925,852","926,109","926,871","927,778","927,395","927,641","928,120","930,028","929,782","929,921","931,327","932,276","932,349","931,832","932,402","932,735","932,549","932,033","931,836","932,740","932,145","932,116","933,784","935,941","934,594","934,291","933,821","934,459","933,463","932,909","932,483","933,318","933,757","934,165","935,172","935,959","935,495","935,775","937,681","938,744","938,946","938,738","939,625","939,855","939,202","937,989","937,931","938,755","938,120","937,665","937,880","937,060","936,232","935,028","935,164","935,433","935,540","935,704","935,965","937,108","937,445","937,489","938,266","940,558","940,879","940,967","942,144","944,201","944,082","943,921","944,095","944,645","943,907","943,317","943,163","942,829","942,045","940,647","939,808","939,442","939,166","938,175","937,768","938,157","937,442","935,380","937,419","938,914","938,973","940,471","942,984","946,623","947,023","948,945","952,159","956,074","956,711","957,883","962,072","967,578","968,724","970,680","975,799","982,592","984,130","986,204","989,168","989,154","990,025","993,946","999,908","1,006,758","1,010,529","1,014,733","1,025,263","1,035,163","1,040,187","1,047,129","1,056,486","1,064,297","1,068,120","1,071,498","1,076,374","1,079,676"
"New Brunswick","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","517,000","519,000","521,000","524,000","527,000","529,000","530,000","532,000","533,000","535,000","537,000","538,000","541,000","543,000","544,000","546,000","548,000","550,000","552,000","553,000","556,000","557,000","558,000","560,000","563,000","565,000","567,000","569,000","572,000","574,000","577,000","580,000","583,000","584,000","585,000","587,000","589,000","591,000","593,000","596,000","599,000","600,000","602,000","604,000","605,000","607,000","607,000","608,000","609,000","609,000","609,000","610,000","612,000","612,000","613,000","614,000","615,000","616,000","616,000","616,000","617,000","617,000","618,000","619,000","621,000","622,000","623,000","624,000","626,000","628,000","627,000","627,000","628,000","628,000","625,000","626,000","628,000","628,000","630,000","633,000","642,471","644,717","646,337","648,056","648,769","651,182","652,497","655,725","656,720","658,693","661,016","662,560","664,744","669,506","671,135","673,918","677,008","682,086","685,155","687,521","689,494","690,936","691,810","693,580","695,843","696,378","696,872","697,851","699,514","699,937","700,237","701,261","703,158","703,038","703,538","704,475","706,219","705,237","704,763","705,241","706,438","706,008","705,608","706,179","707,457","709,894","711,021","712,338","714,842","716,531","717,434","718,627","720,488","721,509","721,932","722,406","723,287","723,955","724,277","724,432","725,019","725,304","725,368","726,566","727,768","728,100","728,401","729,079","730,349","731,671","732,462","733,872","735,129","736,352","737,307","738,744","740,156","741,981","743,210","744,203","745,567","745,886","746,571","747,232","748,121","747,746","747,892","748,320","748,812","749,454","749,531","749,473","750,185","750,670","750,819","750,692","750,943","751,174","751,581","751,872","752,268","752,526","752,334","752,447","752,511","752,248","751,969","751,080","750,530","750,708","750,127","750,075","750,601","750,643","750,786","750,543","750,517","750,252","749,715","749,789","749,823","749,298","748,639","748,778","749,375","749,416","749,243","749,269","749,444","749,467","749,192","749,340","749,424","749,249","749,005","748,696","748,061","747,674","746,985","746,337","745,621","744,973","744,849","744,934","745,430","746,136","746,284","746,529","746,875","747,767","748,375","749,165","749,956","751,066","751,282","752,020","753,034","754,287","754,795","754,843","755,590","756,187","757,039","757,024","758,121","758,408","758,026","757,854","758,261","758,379","758,713","758,570","758,657","759,192","759,270","758,579","759,226","759,971","760,679","762,317","763,322","764,820","764,612","764,859","766,697","768,029","768,146","768,707","770,497","772,793","773,059","774,277","777,387","780,907","781,054","782,512","783,432","783,814","784,950","787,002","790,802","795,732","798,713","801,756","809,264","817,173","820,576","825,417","832,190","840,578","844,433","849,168","854,355","857,381"
"Quebec","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,066,000","4,095,000","4,126,000","4,153,000","4,183,000","4,209,000","4,228,000","4,249,000","4,281,000","4,310,000","4,337,000","4,365,000","4,402,000","4,436,000","4,465,000","4,492,000","4,529,000","4,557,000","4,581,000","4,606,000","4,641,000","4,671,000","4,702,000","4,737,000","4,786,000","4,825,000","4,849,000","4,879,000","4,915,000","4,947,000","4,974,000","5,002,000","5,035,000","5,068,000","5,092,000","5,119,000","5,152,000","5,187,000","5,212,000","5,238,000","5,268,000","5,300,000","5,324,000","5,350,000","5,381,000","5,413,000","5,437,000","5,461,000","5,489,000","5,518,000","5,541,000","5,566,000","5,593,000","5,621,000","5,644,000","5,668,000","5,694,000","5,720,000","5,740,000","5,762,000","5,787,000","5,808,000","5,826,000","5,846,000","5,870,000","5,888,000","5,902,000","5,916,000","5,931,000","5,949,000","5,961,000","5,975,000","5,987,000","6,001,000","6,002,000","6,005,000","6,015,000","6,021,000","6,017,000","6,022,000","6,137,305","6,148,121","6,152,950","6,165,470","6,174,216","6,182,065","6,189,678","6,199,080","6,213,149","6,227,045","6,238,468","6,251,741","6,268,571","6,286,708","6,299,783","6,310,999","6,330,303","6,348,244","6,362,125","6,377,976","6,396,761","6,404,158","6,412,575","6,423,152","6,433,133","6,431,509","6,432,019","6,436,705","6,440,459","6,442,774","6,446,529","6,455,295","6,465,996","6,472,095","6,480,428","6,492,192","6,505,997","6,515,323","6,523,258","6,534,508","6,547,207","6,558,545","6,565,745","6,572,316","6,580,631","6,584,666","6,588,636","6,595,846","6,602,976","6,608,417","6,613,628","6,621,748","6,631,220","6,640,276","6,645,778","6,654,729","6,665,802","6,676,959","6,684,699","6,693,133","6,708,170","6,727,250","6,745,101","6,765,059","6,781,984","6,796,640","6,805,203","6,818,248","6,837,077","6,864,044","6,882,602","6,903,228","6,925,128","6,946,945","6,955,119","6,973,762","6,996,986","7,019,039","7,026,241","7,044,395","7,067,396","7,080,336","7,082,645","7,096,705","7,110,010","7,129,062","7,137,514","7,147,047","7,156,537","7,172,016","7,177,923","7,184,599","7,192,403","7,201,106","7,205,074","7,210,305","7,219,219","7,228,600","7,232,952","7,237,307","7,246,897","7,257,616","7,262,945","7,267,820","7,274,611","7,282,871","7,286,008","7,290,497","7,295,935","7,305,302","7,310,238","7,315,053","7,323,250","7,334,722","7,340,269","7,347,179","7,356,951","7,368,772","7,373,978","7,383,844","7,396,014","7,411,084","7,417,456","7,427,639","7,441,305","7,455,548","7,461,162","7,471,463","7,485,488","7,503,483","7,510,218","7,520,109","7,535,483","7,553,578","7,559,576","7,567,277","7,581,467","7,598,880","7,604,228","7,615,496","7,631,901","7,652,881","7,661,201","7,673,938","7,692,400","7,712,616","7,724,885","7,739,956","7,761,614","7,786,609","7,799,271","7,817,425","7,843,915","7,871,847","7,886,127","7,903,676","7,929,479","7,955,183","7,967,270","7,982,145","8,004,736","8,021,063","8,028,516","8,038,332","8,059,752","8,076,838","8,081,006","8,089,004","8,108,825","8,122,462","8,123,138","8,129,926","8,147,535","8,162,631","8,160,176","8,159,968","8,175,743","8,190,074","8,193,831","8,204,229","8,225,036","8,246,383","8,252,179","8,265,839","8,292,832","8,326,075","8,338,883","8,354,460","8,386,951","8,418,646","8,430,363","8,447,632","8,483,186","8,521,542","8,537,376","8,550,900","8,551,095","8,551,865","8,550,561","8,556,015","8,572,020","8,603,995","8,616,610","8,630,541","8,673,184","8,727,339","8,762,928","8,796,788","8,848,020","8,918,906","8,956,326","9,003,338","9,056,044","9,100,249"
"Ontario","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,615,000","4,665,000","4,717,000","4,757,000","4,802,000","4,841,000","4,876,000","4,907,000","4,956,000","5,002,000","5,047,000","5,082,000","5,130,000","5,174,000","5,208,000","5,236,000","5,278,000","5,311,000","5,344,000","5,375,000","5,423,000","5,470,000","5,529,000","5,580,000","5,668,000","5,722,000","5,759,000","5,789,000","5,835,000","5,874,000","5,907,000","5,938,000","5,985,000","6,020,000","6,054,000","6,083,000","6,127,000","6,158,000","6,187,000","6,214,000","6,248,000","6,275,000","6,303,000","6,330,000","6,362,000","6,395,000","6,427,000","6,455,000","6,497,000","6,535,000","6,572,000","6,602,000","6,646,000","6,687,000","6,723,000","6,758,000","6,803,000","6,849,000","6,888,000","6,926,000","6,977,000","7,025,000","7,063,000","7,096,000","7,142,000","7,186,000","7,213,000","7,238,000","7,275,000","7,305,000","7,338,000","7,362,000","7,399,000","7,442,000","7,488,000","7,528,000","7,566,000","7,613,000","7,656,000","7,683,000","7,849,027","7,882,241","7,906,337","7,927,220","7,963,117","7,992,037","8,013,391","8,035,129","8,075,547","8,107,108","8,139,808","8,172,562","8,204,275","8,240,114","8,260,161","8,284,503","8,319,795","8,352,911","8,366,498","8,387,985","8,413,779","8,438,765","8,458,617","8,481,322","8,504,080","8,530,102","8,548,453","8,569,298","8,590,144","8,604,263","8,619,239","8,638,099","8,662,088","8,674,941","8,693,157","8,715,218","8,746,013","8,757,388","8,770,591","8,787,156","8,812,286","8,846,005","8,865,774","8,892,646","8,920,288","8,957,042","8,982,933","9,010,994","9,039,564","9,074,145","9,100,590","9,129,833","9,167,484","9,210,346","9,230,294","9,256,175","9,294,657","9,338,435","9,362,036","9,391,784","9,437,359","9,493,289","9,531,478","9,577,947","9,637,945","9,702,789","9,735,171","9,774,964","9,838,620","9,917,210","9,969,308","10,031,922","10,103,305","10,167,642","10,189,985","10,238,884","10,295,832","10,344,678","10,355,101","10,385,937","10,431,316","10,465,562","10,488,022","10,528,346","10,572,205","10,610,665","10,629,994","10,656,924","10,690,038","10,728,737","10,744,762","10,776,819","10,819,146","10,860,406","10,875,308","10,906,895","10,950,119","10,993,416","11,009,307","11,037,392","11,082,903","11,130,574","11,146,270","11,179,959","11,227,651","11,278,893","11,292,059","11,322,038","11,365,901","11,408,804","11,419,589","11,452,857","11,504,759","11,559,464","11,576,994","11,621,255","11,683,290","11,748,348","11,771,945","11,827,345","11,897,473","11,961,546","11,979,906","12,029,818","12,093,412","12,145,100","12,155,691","12,194,269","12,243,641","12,290,116","12,303,516","12,339,813","12,389,641","12,435,931","12,444,755","12,476,560","12,527,581","12,578,240","12,587,149","12,618,321","12,661,953","12,701,324","12,703,327","12,727,090","12,765,133","12,807,497","12,814,686","12,840,482","12,883,824","12,927,520","12,932,742","12,956,924","12,998,941","13,048,442","13,059,426","13,088,924","13,136,481","13,189,987","13,199,081","13,222,146","13,262,345","13,310,604","13,325,337","13,350,123","13,392,364","13,436,625","13,446,276","13,469,151","13,511,902","13,559,499","13,563,311","13,583,220","13,617,763","13,661,282","13,657,423","13,669,290","13,709,293","13,759,762","13,774,364","13,816,652","13,876,500","13,948,180","13,975,516","14,012,209","14,078,499","14,161,084","14,199,811","14,251,136","14,326,746","14,413,055","14,449,986","14,493,612","14,573,565","14,666,727","14,718,155","14,752,374","14,761,811","14,757,582","14,772,726","14,808,093","14,842,488","14,938,314","14,995,433","15,042,458","15,141,455","15,289,550","15,402,095","15,478,287","15,623,207","15,818,465","15,944,379","16,033,583","16,124,116","16,171,802"
